,inchikey,hmdb,kegg,fingerprints
C00624_N-Acetylglutamate,RFMMMVDNIPUKGG-YFKPBYRVSA-N,HMDB0001138,C00624,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000000101011000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00612_N1-Acetylspermidine,MQTAVJHICJWXBR-UHFFFAOYSA-N,HMDB0001276,C00612,11100000011100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000100000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00423_trans-Cinnamate,WBYWAXJHAXSJNI-VOTSOKGWSA-N,,C00423,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000000100000001001100000000000001100000000100010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100000000000000000000000000011001000000010000010010000100010100000000001000100010000100000000011000000000000001000001000000000000000000010001001100110000111000000001000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00430_5-Aminolevulinate,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,HMDB0001149,C00430,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000100110000011000000000000100000000000000100000000000010000000000001000000000000010000000000010000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000000000000000010010000000001000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100110110001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"C03283_2,4-Diaminobutyrate",OGNSCSPNOLGXSM-VKHMYHEASA-N,HMDB0002362,C03283,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010000000000001100000000000000000000000100000000000000000001000001000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00791_Creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,HMDB0000562,C00791,10000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000000000000000110000011000000000000100000000110000000000000011010000000000000000000000001010000000000000000001000100000011010000000000000000000000000000000001000000000000000000000000000000010000000000000000100010000000000000000000100000000100000000000000000000000000100000100000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C05984_2-Hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-N,HMDB0000008,C05984,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02115_Alpha-Methylserine,CDUUKBXTEOFITR-SCSAIBSYSA-N,,C02115,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110010001000101000011000000000000010000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00493_Shikimate,JXOHGGNKMLTUBP-HSUXUTPPSA-N,HMDB0003070,C00493,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110000010100101000001000000000000010000000000000100000000000000000000000001000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000001001000000000010001010000010010000000000000000100000000000000000101000000000000000001011100000000000000000010010001000110000011110010101110110000100100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01181_gamma-Butyrobetaine,JHPNVNIEXXLNTR-UHFFFAOYSA-O,HMDB0001161,C01181,11100000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000100000000000110000011000000000000100000000100000100000000011000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000010000000000001000000000000000000001000100000000000000000001000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
